game,league,season,team_name,player,jersey_number,pos,match_name
2022-08-13 Barcelona-Rayo Vallecano,ESP-La Liga,2223,Barcelona,Ansu Fati,10,"RW,FW",Barcelona-Rayo Vallecano
2022-09-10 Cádiz-Barcelona,ESP-La Liga,2223,Barcelona,Ousmane Dembélé,7,LW,Cádiz-Barcelona
2022-09-10 Cádiz-Barcelona,ESP-La Liga,2223,Barcelona,Pedri,8,LM,Cádiz-Barcelona
2023-04-01 Elche-Barcelona,ESP-La Liga,2223,Barcelona,Ansu Fati,10,LW,Elche-Barcelona
2022-09-10 Cádiz-Barcelona,ESP-La Liga,2223,Barcelona,Ferrán Torres,11,LW,Cádiz-Barcelona
2022-08-13 Barcelona-Rayo Vallecano,ESP-La Liga,2223,Barcelona,Franck Kessié,19,"CM,LM",Barcelona-Rayo Vallecano
2022-08-13 Barcelona-Rayo Vallecano,ESP-La Liga,2223,Barcelona,Frenkie de Jong,21,"RM,CM",Barcelona-Rayo Vallecano
2023-03-19 Barcelona-Real Madrid,ESP-La Liga,2223,Barcelona,Sergio Busquets,5,CM,Barcelona-Real Madrid
2022-09-10 Cádiz-Barcelona,ESP-La Liga,2223,Barcelona,Marcos Alonso,17,LB,Cádiz-Barcelona
2023-03-12 Athletic Club-Barcelona,ESP-La Liga,2223,Barcelona,Frenkie de Jong,21,"LM,CM",Athletic Club-Barcelona
2022-12-31 Barcelona-Espanyol,ESP-La Liga,2223,Barcelona,Raphinha,22,RW,Barcelona-Espanyol
2023-01-28 Girona-Barcelona,ESP-La Liga,2223,Barcelona,Ansu Fati,10,FW,Girona-Barcelona
2023-01-28 Girona-Barcelona,ESP-La Liga,2223,Barcelona,Eric García,24,CB,Girona-Barcelona
2023-01-28 Girona-Barcelona,ESP-La Liga,2223,Barcelona,Franck Kessié,19,RW,Girona-Barcelona
2023-01-28 Girona-Barcelona,ESP-La Liga,2223,Barcelona,Frenkie de Jong,21,LM,Girona-Barcelona
2023-01-28 Girona-Barcelona,ESP-La Liga,2223,Barcelona,Gavi,30,"LW,RM",Girona-Barcelona
2023-01-28 Girona-Barcelona,ESP-La Liga,2223,Barcelona,Jordi Alba,18,LB,Girona-Barcelona
2023-01-28 Girona-Barcelona,ESP-La Liga,2223,Barcelona,Jules Koundé,23,RB,Girona-Barcelona
2023-01-28 Girona-Barcelona,ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,1,GK,Girona-Barcelona
2023-01-28 Girona-Barcelona,ESP-La Liga,2223,Barcelona,Marcos Alonso,17,LB,Girona-Barcelona
2023-01-28 Girona-Barcelona,ESP-La Liga,2223,Barcelona,Ousmane Dembélé,7,LW,Girona-Barcelona
2023-01-28 Girona-Barcelona,ESP-La Liga,2223,Barcelona,Pedri,8,RM,Girona-Barcelona
2023-01-28 Girona-Barcelona,ESP-La Liga,2223,Barcelona,Raphinha,22,RW,Girona-Barcelona
2023-01-28 Girona-Barcelona,ESP-La Liga,2223,Barcelona,Alejandro Balde,28,FW,Girona-Barcelona
2023-01-28 Girona-Barcelona,ESP-La Liga,2223,Barcelona,Ronald Araújo,4,CB,Girona-Barcelona
2023-03-12 Athletic Club-Barcelona,ESP-La Liga,2223,Barcelona,Alejandro Balde,28,LB,Athletic Club-Barcelona
2023-03-12 Athletic Club-Barcelona,ESP-La Liga,2223,Barcelona,Andreas Christensen,15,CB,Athletic Club-Barcelona
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,1,GK,Barcelona-Mallorca
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Marcos Alonso,17,LB,Barcelona-Mallorca
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Ousmane Dembélé,7,"RW,LW",Barcelona-Mallorca
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Raphinha,22,"RW,LW",Barcelona-Mallorca
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Robert Lewandowski,9,FW,Barcelona-Mallorca
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Sergi Roberto,20,RB,Barcelona-Mallorca
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Sergio Busquets,5,CM,Barcelona-Mallorca
2023-03-12 Athletic Club-Barcelona,ESP-La Liga,2223,Barcelona,Ansu Fati,10,LW,Athletic Club-Barcelona
2023-03-12 Athletic Club-Barcelona,ESP-La Liga,2223,Barcelona,Ferrán Torres,11,LW,Athletic Club-Barcelona
2023-03-12 Athletic Club-Barcelona,ESP-La Liga,2223,Barcelona,Gavi,6,"RM,LW,RW",Athletic Club-Barcelona
2023-01-28 Girona-Barcelona,ESP-La Liga,2223,Barcelona,Sergio Busquets,5,CM,Girona-Barcelona
2022-12-31 Barcelona-Espanyol,ESP-La Liga,2223,Barcelona,Robert Lewandowski,9,FW,Barcelona-Espanyol
2023-03-12 Athletic Club-Barcelona,ESP-La Liga,2223,Barcelona,Jules Koundé,23,"CB,RB",Athletic Club-Barcelona
2023-03-12 Athletic Club-Barcelona,ESP-La Liga,2223,Barcelona,Raphinha,22,RW,Athletic Club-Barcelona
2022-12-31 Barcelona-Espanyol,ESP-La Liga,2223,Barcelona,Pedri,8,LM,Barcelona-Espanyol
2023-04-10 Barcelona-Girona,ESP-La Liga,2223,Barcelona,Ferrán Torres,11,"RW,LW",Barcelona-Girona
2023-04-10 Barcelona-Girona,ESP-La Liga,2223,Barcelona,Franck Kessié,19,RM,Barcelona-Girona
2023-04-10 Barcelona-Girona,ESP-La Liga,2223,Barcelona,Gavi,30,"LM,RM",Barcelona-Girona
2023-04-10 Barcelona-Girona,ESP-La Liga,2223,Barcelona,Jordi Alba,18,LW,Barcelona-Girona
2023-04-10 Barcelona-Girona,ESP-La Liga,2223,Barcelona,Jules Koundé,23,RB,Barcelona-Girona
2023-04-10 Barcelona-Girona,ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,1,GK,Barcelona-Girona
2023-04-10 Barcelona-Girona,ESP-La Liga,2223,Barcelona,Raphinha,22,RW,Barcelona-Girona
2023-04-10 Barcelona-Girona,ESP-La Liga,2223,Barcelona,Robert Lewandowski,9,FW,Barcelona-Girona
2023-03-12 Athletic Club-Barcelona,ESP-La Liga,2223,Barcelona,Franck Kessié,19,"RM,CM",Athletic Club-Barcelona
2023-04-10 Barcelona-Girona,ESP-La Liga,2223,Barcelona,Ronald Araújo,4,CB,Barcelona-Girona
2023-04-10 Barcelona-Girona,ESP-La Liga,2223,Barcelona,Sergi Roberto,20,LM,Barcelona-Girona
2023-03-12 Athletic Club-Barcelona,ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,1,GK,Athletic Club-Barcelona
2023-04-10 Barcelona-Girona,ESP-La Liga,2223,Barcelona,Sergio Busquets,5,CM,Barcelona-Girona
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Andreas Christensen,15,CB,Barcelona-Mallorca
2023-05-28 Barcelona-Mallorca,ESP-La Liga,2223,Barcelona,Ansu Fati,10,LW,Barcelona-Mallorca
